architecture,train_resolution,eval_resolution,beta,split_seed,val_resolution,protocol,n_seeds,seeds,rel_l2_seed_mean_mean,rel_l2_seed_mean_std,rel_h1_seminorm_seed_mean_mean,rel_h1_seminorm_seed_mean_std,rel_energy_norm_seed_mean_mean,rel_energy_norm_seed_mean_std,n_test_samples,aggregation,matrix_row,matrix_column
FNO,32,32,1,1,128,fixed-val128,3,0001;0002;0003,0.0399534911606,0.00217827418972,0.102089836279,0.0020148955694,0.145493220964,0.00136399633797,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,32,64,1,1,128,fixed-val128,3,0001;0002;0003,0.0460524065133,0.00235174458438,0.185956091925,0.00368288555215,0.257191557085,0.00592678074569,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,32,128,1,1,128,fixed-val128,3,0001;0002;0003,0.049409713674,0.0024884642439,0.313241123402,0.00751633245093,0.409075198117,0.00965215916827,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,32,256,1,1,128,fixed-val128,3,0001;0002;0003,0.0490488882479,0.00259596268506,0.352698141883,0.00883202101504,0.465370923791,0.00985677291183,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,64,32,1,1,128,fixed-val128,3,0001;0002;0003,0.0429014791001,0.00350122240976,0.100283966282,0.00421166634574,0.142664772124,0.0043301756295,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,64,64,1,1,128,fixed-val128,3,0001;0002;0003,0.0367298464006,0.00162937907957,0.117951524377,0.00323701269108,0.179370707824,0.00502223405233,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,64,128,1,1,128,fixed-val128,3,0001;0002;0003,0.037868907099,0.000904090614013,0.161902010086,0.0024086492163,0.245648059618,0.00657437366664,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,64,256,1,1,128,fixed-val128,3,0001;0002;0003,0.0374810356074,0.000874783575856,0.182196427148,0.00268944041212,0.276210523696,0.00710281982876,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,128,32,1,1,128,fixed-val128,3,0001;0002;0003,0.0465367890425,0.0023378238491,0.103601871541,0.00165395760162,0.149753254143,0.00248183643629,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,128,64,1,1,128,fixed-val128,3,0001;0002;0003,0.0367446371837,0.00159088640933,0.118561169125,0.00340210777546,0.181510447318,0.0049552287845,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,128,128,1,1,128,fixed-val128,3,0001;0002;0003,0.036685789436,0.00148316844577,0.148605576956,0.00502171925411,0.233562549836,0.0084087050576,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,128,256,1,1,128,fixed-val128,3,0001;0002;0003,0.0365875047413,0.00147727269566,0.163083271693,0.00621049412888,0.252940978139,0.0105319937993,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,256,32,1,1,128,fixed-val128,3,0001;0002;0003,0.046660271297,0.00266938256163,0.104378572184,0.00235057049359,0.151006392037,0.00332127672148,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,256,64,1,1,128,fixed-val128,3,0001;0002;0003,0.0369769324182,0.00173468204245,0.119434772948,0.00366511366332,0.182952573129,0.00576593520608,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,256,128,1,1,128,fixed-val128,3,0001;0002;0003,0.0370712387355,0.00146390273011,0.152682965378,0.00528693052286,0.237644216993,0.00962140478239,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
FNO,256,256,1,1,128,fixed-val128,3,0001;0002;0003,0.036684978521,0.00147603188523,0.164898107131,0.00657799980163,0.256070605046,0.011322291387,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
