architecture,train_resolution,eval_resolution,beta,split_seed,val_resolution,protocol,n_seeds,seeds,rel_l2_seed_mean_mean,rel_l2_seed_mean_std,rel_h1_seminorm_seed_mean_mean,rel_h1_seminorm_seed_mean_std,rel_energy_norm_seed_mean_mean,rel_energy_norm_seed_mean_std,n_test_samples,aggregation,matrix_row,matrix_column
U-Net,32,32,1,1,128,fixed-val128,3,0001;0002;0003,0.122852939746,0.0449422554464,0.212795088876,0.0135190412267,0.271963419942,0.0148182053733,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,32,64,1,1,128,fixed-val128,3,0001;0002;0003,0.951610593852,0.193193878231,1.5325990719,0.217365339177,1.42194576769,0.234710853408,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,32,128,1,1,128,fixed-val128,3,0001;0002;0003,1.84932696154,0.145322148089,3.84477042709,0.229828637014,3.20631067828,0.260627321474,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,32,256,1,1,128,fixed-val128,3,0001;0002;0003,2.42477994553,0.0572093426779,6.93091443231,0.229411122821,5.59324588766,0.301706555724,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,64,32,1,1,128,fixed-val128,3,0001;0002;0003,0.575455777595,0.109939905108,0.628669125907,0.0750810004624,0.623477628193,0.0773114206463,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,64,64,1,1,128,fixed-val128,3,0001;0002;0003,0.1630367243,0.0458502998631,0.319418664206,0.0629037490322,0.415605030104,0.0801808846585,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,64,128,1,1,128,fixed-val128,3,0001;0002;0003,0.930200728515,0.0477713016567,1.51819113853,0.107973124186,1.42681074394,0.101229052309,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,64,256,1,1,128,fixed-val128,3,0001;0002;0003,2.07077474515,0.16415193618,4.41140496896,0.416855616441,3.48752383796,0.279858671728,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,128,32,1,1,128,fixed-val128,3,0001;0002;0003,0.724609275689,0.0374253188559,0.786876181371,0.0375015577501,0.77468509629,0.0413717259363,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,128,64,1,1,128,fixed-val128,3,0001;0002;0003,0.536503068647,0.00323960457412,0.614291786765,0.0307393989264,0.614251911466,0.0513640475986,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,128,128,1,1,128,fixed-val128,3,0001;0002;0003,0.0520686778487,0.00317024128254,0.30067789786,0.0750247037015,0.432287892103,0.118627036154,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,128,256,1,1,128,fixed-val128,3,0001;0002;0003,0.765548239983,0.0554395374302,1.68729186774,0.0139398496028,1.51173086896,0.0589012528735,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,256,32,1,1,128,fixed-val128,3,0001;0002;0003,0.822615391889,0.0400257174876,0.929131726816,0.0787339054611,0.95305070119,0.119976349959,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,256,64,1,1,128,fixed-val128,3,0001;0002;0003,0.736392531971,0.0479284325307,0.8928622227,0.10421369433,0.95221668976,0.161930129684,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,256,128,1,1,128,fixed-val128,3,0001;0002;0003,0.373014948703,0.0194600122411,0.783425196463,0.0792169045238,1.0068402929,0.113505284922,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
U-Net,256,256,1,1,128,fixed-val128,3,0001;0002;0003,0.27020426448,0.0582992444253,1.27684942398,0.0807152955133,2.1577546481,0.11515942663,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,32,32,1,1,128,fixed-val128,3,0001;0002;0003,0.110250091346,0.0253548342234,0.268835503941,0.049599159515,0.350707098978,0.107149474793,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,32,64,1,1,128,fixed-val128,3,0001;0002;0003,0.463910496955,0.0994582655298,0.750661000528,0.0425967375133,0.942131633851,0.161990183501,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,32,128,1,1,128,fixed-val128,3,0001;0002;0003,0.73568804222,0.140039877495,1.75678876897,0.220888853807,1.95566603457,0.215129694803,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,32,256,1,1,128,fixed-val128,3,0001;0002;0003,0.94708131483,0.217446980778,3.43040799473,0.741475907463,3.78738228755,0.742410967364,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,64,32,1,1,128,fixed-val128,3,0001;0002;0003,0.307132516929,0.0602561761337,0.510781495724,0.0839289090856,0.639958035327,0.0437672053127,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,64,64,1,1,128,fixed-val128,3,0001;0002;0003,0.109370889495,0.033506332387,0.245318373138,0.057050650978,0.352828772124,0.101057267509,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,64,128,1,1,128,fixed-val128,3,0001;0002;0003,0.253174724312,0.00136387507108,0.631076545678,0.0536997921061,0.767713002216,0.0849164748286,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,64,256,1,1,128,fixed-val128,3,0001;0002;0003,0.435965694196,0.0235970437419,1.32611225944,0.099110465349,1.46564953406,0.11871790361,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,128,32,1,1,128,fixed-val128,3,0001;0002;0003,0.622995789935,0.0503693524601,0.919527424713,0.0184095253269,1.07043274523,0.0398966426694,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,128,64,1,1,128,fixed-val128,3,0001;0002;0003,0.409951018972,0.0376583760019,0.539236325405,0.0258779534061,0.598426205022,0.0339299942645,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,128,128,1,1,128,fixed-val128,3,0001;0002;0003,0.0494279840383,0.00346507846652,0.226581778019,0.019040307513,0.309547322204,0.0200853149442,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,128,256,1,1,128,fixed-val128,3,0001;0002;0003,0.481758187156,0.014100349811,1.02576804847,0.0266141013493,1.05625896312,0.0284423811082,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,256,32,1,1,128,fixed-val128,3,0001;0002;0003,0.5577186406,0.106889258457,1.19196492511,0.339224712977,1.67159583663,0.577938579697,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,256,64,1,1,128,fixed-val128,3,0001;0002;0003,0.445865480739,0.0537506183199,1.15378316437,0.262794199811,1.78596806547,0.547571720425,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,256,128,1,1,128,fixed-val128,3,0001;0002;0003,0.21186399121,0.00726313240767,0.889839928398,0.124842158391,1.49666442067,0.210372981981,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
ResNet,256,256,1,1,128,fixed-val128,3,0001;0002;0003,0.131337878184,0.0181131764432,0.792045485203,0.123006887411,1.33977356246,0.188257572363,1000,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution
