architecture,train_resolution,eval_resolution,beta,split_seed,val_resolution,protocol,n_seeds,seeds,rel_l2_seed_mean_mean,rel_l2_seed_mean_std,rel_h1_seminorm_seed_mean_mean,rel_h1_seminorm_seed_mean_std,rel_energy_norm_seed_mean_mean,rel_energy_norm_seed_mean_std,n_test_samples,aggregation,matrix_row,matrix_column,record_type,protocol_label,path,D_field_seed_mean,D_field_seed_std,D_field_seed_min,D_field_seed_max,D_op_seed_mean,D_op_seed_std,D_op_seed_min,D_op_seed_max,amplification_seed_mean,amplification_seed_std,amplification_seed_min,amplification_seed_max,comparison,operator,absolute_pde_residual,baseline,n_samples,mean,per_sample_std,unique_seed_means,definition,source_or_boundary_assumption
FNO,128.0,128.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.036685789436,0.00148316844577,0.148605576956,0.00502171925411,0.233562549836,0.0084087050576,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
FNO,128.0,256.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.0365875047413,0.00147727269566,0.163083271693,0.00621049412888,0.252940978139,0.0105319937993,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
FNO,256.0,128.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.0370712387355,0.00146390273011,0.152682965378,0.00528693052286,0.237644216993,0.00962140478239,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
FNO,256.0,256.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.036684978521,0.00147603188523,0.164898107131,0.00657799980163,0.256070605046,0.011322291387,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
U-Net,128.0,128.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.0520686778487,0.00317024128254,0.30067789786,0.0750247037015,0.432287892103,0.118627036154,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
U-Net,128.0,256.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.765548239983,0.0554395374302,1.68729186774,0.0139398496028,1.51173086896,0.0589012528735,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
U-Net,256.0,128.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.373014948703,0.0194600122411,0.783425196463,0.0792169045238,1.0068402929,0.113505284922,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
U-Net,256.0,256.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.27020426448,0.0582992444253,1.27684942398,0.0807152955133,2.1577546481,0.11515942663,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
ResNet,128.0,128.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.0494279840383,0.00346507846652,0.226581778019,0.019040307513,0.309547322204,0.0200853149442,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
ResNet,128.0,256.0,1.0,1.0,128.0,fixed-val128,3.0,0001;0002;0003,0.481758187156,0.014100349811,1.02576804847,0.0266141013493,1.05625896312,0.0284423811082,1000.0,sample mean within seed; arithmetic mean across three seeds,evaluation_resolution,train_resolution,physical_metric,,,,,,,,,,,,,,,,,,,,,,,,
