architecture,train_nx,train_ny,eval_nx,eval_ny,n_seeds,joint_rel_l2_seed_mean,joint_rel_l2_seed_std,joint_rel_l2_finite_seed_count,ux_rel_l2_seed_mean,ux_rel_l2_seed_std,ux_rel_l2_finite_seed_count,uy_rel_l2_seed_mean,uy_rel_l2_seed_std,uy_rel_l2_finite_seed_count,vector_h1_seminorm_rel_seed_mean,vector_h1_seminorm_rel_seed_std,vector_h1_seminorm_rel_finite_seed_count,deformation_gradient_rel_seed_mean,deformation_gradient_rel_seed_std,deformation_gradient_rel_finite_seed_count,strain_energy_density_rel_seed_mean,strain_energy_density_rel_seed_std,strain_energy_density_rel_finite_seed_count,sampled_total_potential_rel_seed_mean,sampled_total_potential_rel_seed_std,sampled_total_potential_rel_finite_seed_count,sampled_total_potential_abs_seed_mean,sampled_total_potential_abs_seed_std,sampled_total_potential_abs_finite_seed_count,clamped_boundary_rms_seed_mean,clamped_boundary_rms_seed_std,clamped_boundary_rms_finite_seed_count,min_det_f_seed_mean,min_det_f_seed_std,min_det_f_finite_seed_count,nonpositive_j_fraction_seed_mean,nonpositive_j_fraction_seed_std,nonpositive_j_fraction_finite_seed_count,energy_valid_sample_fraction_seed_mean,energy_valid_sample_fraction_seed_std,minimum_det_f_over_test_set_seed_mean,minimum_det_f_over_test_set_seed_std,mean_nonpositive_j_cell_fraction_seed_mean,mean_nonpositive_j_cell_fraction_seed_std,worst_sample_nonpositive_j_fraction_seed_mean,worst_sample_nonpositive_j_fraction_seed_std,fraction_samples_with_any_nonpositive_j_seed_mean,fraction_samples_with_any_nonpositive_j_seed_std,n_test_samples,matrix_row,matrix_column
FNO,64,16,64,16,3,0.00117931788783,3.64013820458e-05,3,0.00207763388179,0.000215649372432,3,0.00112171382582,5.13019826062e-05,3,0.0189170547184,0.000696320919938,3,0.00477378074164,0.000183370374859,3,0.0979371837059,0.00905715513238,3,0.0393556727653,0.00120073759233,3,0.179397091221,0.00756717206868,3,0,0,3,0.919065768644,0.000530585812013,3,0.0,0.0,3,1.0,0.0,0.892203323172,0.00406782589604,0.0,0.0,0.0,0.0,0.0,0.0,75,evaluation_grid,training_grid
FNO,64,16,128,32,3,0.0355743704443,0.00314135642337,3,0.113024134453,0.0101975994831,3,0.0282723113774,0.00424262468413,3,2.17218373883,0.167433275572,3,0.55222693905,0.0428491227139,3,,,0,,,0,,,0,0,0,3,-3.80292728851,0.18519863215,3,0.0225146050292,0.00714101651049,3,0.0,0.0,-5.04199439459,0.879847117376,0.0225146050292,0.00714101651049,0.0272627211921,0.0083120240564,1.0,0.0,75,evaluation_grid,training_grid
FNO,64,16,200,50,3,0.0471719501126,0.00610963660014,3,0.131152337463,0.0101658444292,3,0.0402676510826,0.00685684271388,3,3.38597367202,0.413596270791,3,0.86212546328,0.105636234583,3,,,0,,,0,,,0,0,0,3,-9.45314466604,4.15448909799,3,0.0283667771966,0.00830017629788,3,0.0,0.0,-18.8367126298,7.10294300222,0.0283667771966,0.00830017629788,0.0331931767682,0.00939931557919,1.0,0.0,75,evaluation_grid,training_grid
FNO,128,32,64,16,3,0.0137359851029,0.0018307630625,3,0.0345939800363,0.00471910827248,3,0.0121650021798,0.0018233762869,3,0.38749638654,0.0702985650028,3,0.0984603593064,0.0178349682088,3,49.8938562268,27.579936744,3,18.9668610898,7.04146350378,3,91.5669136009,33.8410806593,3,0,0,3,0.575138363328,0.108641841187,3,0.0,0.0,3,1.0,0.0,0.512739323191,0.115052384235,0.0,0.0,0.0,0.0,0.0,0.0,75,evaluation_grid,training_grid
FNO,128,32,128,32,3,0.00258154309,8.55636900907e-05,3,0.00556519497335,0.000680113609461,3,0.00238124466182,0.000126630393297,3,0.135320478375,0.00163813766681,3,0.03435846385,0.000411940435744,3,2.40679373674,0.280411362367,3,1.7866946264,0.172499365671,3,8.55470244292,0.791088414537,3,0,0,3,0.839889894706,0.0217396148243,3,0.0,0.0,3,1.0,0.0,0.73832566383,0.0115041704449,0.0,0.0,0.0,0.0,0.0,0.0,75,evaluation_grid,training_grid
FNO,128,32,200,50,3,0.0134544978111,0.000859632943519,3,0.0466673181735,0.000846346266144,3,0.0100826846558,0.00113048271316,3,1.42321967468,0.052786170385,3,0.361861202268,0.0140825672366,3,,,0,,,0,,,0,0,0,3,-3.5614640724,0.893731590952,3,0.0125033329915,0.00253674542185,3,0.0,0.0,-4.19841385204,1.33565665418,0.0125033329915,0.00253674542185,0.0160325436707,0.00101292396609,1.0,0.0,75,evaluation_grid,training_grid
ResNet,64,16,64,16,3,0.00521442508733,0.000457429550945,3,0.00871171833296,0.000791138991744,3,0.0050116835234,0.000448725682655,3,0.0821438726966,0.00666406358913,3,0.0208501553534,0.00166564023586,3,1.79145317398,0.445002832885,3,0.909094592124,0.136341296416,3,4.38947411348,0.642759515423,3,0,0,3,0.846509912906,0.0162643730081,3,0.0,0.0,3,1.0,0.0,0.417079926363,0.150358513679,0.0,0.0,0.0,0.0,0.0,0.0,75,evaluation_grid,training_grid
ResNet,64,16,128,32,3,0.355385665405,0.0389789612701,3,0.34175466569,0.017510042882,3,0.355803485052,0.0398482682791,3,1.93184623678,0.23020593151,3,0.493522320765,0.0592762794857,3,514.859743941,185.308029997,2,451.084092466,127.404327532,2,1686.34928433,184.197240312,2,0,0,3,-3.13878731667,1.7104300756,3,0.0311652978862,0.0171049125361,3,0.08,0.0949073622403,-9.56054015892,2.95476750744,0.0311652978862,0.0171049125361,0.157480314961,0.0349032805853,0.92,0.0949073622403,75,evaluation_grid,training_grid
ResNet,64,16,200,50,3,0.517666627092,0.0413814157345,3,0.54496977998,0.0473527953704,3,0.516006356171,0.0407864519502,3,3.48233315203,0.346786585389,3,0.886251713883,0.0860039329142,3,920.760366811,0.0,1,791.469242441,0.0,1,2444.44417463,0.0,1,0,0,3,-8.64644070525,3.17050990416,3,0.100331589922,0.0364570817635,3,0.00444444444444,0.00628539361055,-20.752369931,5.27457696187,0.100331589922,0.0364570817635,0.238471267904,0.0297660293805,0.995555555556,0.00628539361055,75,evaluation_grid,training_grid
ResNet,128,32,64,16,3,0.137602076653,0.0210845637244,3,0.160663736682,0.00458722754933,3,0.136516487291,0.0219333820079,3,0.733136776826,0.0245005095438,3,0.1861805218,0.00639101290202,3,72.5517692549,21.1112860335,3,64.1474954154,3.43525038941,3,305.989944201,13.4392845333,3,0,0,3,0.327988533216,0.106797091518,3,2.35155790711e-05,3.32560508495e-05,3,0.977777777778,0.0314269680527,0.124823099689,0.197657324497,2.35155790711e-05,3.32560508495e-05,0.000352733686067,0.000498840762742,0.0222222222222,0.0314269680527,75,evaluation_grid,training_grid
