case,case_label,nx,ny,dx,dy,coordinate_placement,output_h,output_w,expected_output_h,expected_output_w,n_interior_cells,coefficient_min,coefficient_max,finite_check,shape_check,exact_response,relative_l2_error,absolute_l2_error,relative_linf_error,maximum_pointwise_abs_error,mean_pointwise_abs_error,exact_l2_norm,exact_linf_norm,observed_order_relative_l2_error,observed_order_absolute_l2_error,observed_order_relative_linf_error,observed_order_maximum_pointwise_abs_error,observed_order_mean_pointwise_abs_error,monotonic_relative_l2_all_grids,monotonic_relative_linf_all_grids,asymptotic_fit_order_relative_l2,asymptotic_fit_order_relative_linf,case_status,sympy_case_b_status,sympy_case_b_numeric_max_abs_difference,independent_crosscheck_grid,independent_crosscheck_max_abs_difference,independent_crosscheck_relative_l2_difference,independent_crosscheck_status
A,constant_coefficient,16,16,0.0625,0.0625,cell_centred_(i+0.5)/N,14,14,14,14,196,1.0,1.0,True,True,2*pi^2*sin(pi*x)*sin(pi*y),0.00320863595504,0.0315919061538,0.00320863595504,0.0627274439703,0.0323547418235,9.84589919095,19.5495671211,,,,,,True,True,1.99996360784,1.99996387541,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
A,constant_coefficient,32,32,0.03125,0.03125,cell_centred_(i+0.5)/N,30,30,30,30,900,1.0,1.0,True,True,2*pi^2*sin(pi*x)*sin(pi*y),0.000802932460769,0.00792224079614,0.000802932460768,0.0158110922581,0.00724407108931,9.86663409841,19.6916839594,1.99860956917,1.99557452961,1.99860956917,1.98815974158,2.15910455592,True,True,1.99996360784,1.99996387541,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
A,constant_coefficient,64,64,0.015625,0.015625,cell_centred_(i+0.5)/N,62,62,62,62,3844,1.0,1.0,True,True,2*pi^2*sin(pi*x)*sin(pi*y),0.000200781488403,0.00198155926895,0.000200781488412,0.0039608807586,0.00170777459347,9.8692328895,19.7273204314,1.99965237732,1.99927243323,1.99965237725,1.99704386005,2.08468313574,True,True,1.99996360784,1.99996387541,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
A,constant_coefficient,128,128,0.0078125,0.0078125,cell_centred_(i+0.5)/N,126,126,126,126,15876,1.0,1.0,True,True,2*pi^2*sin(pi*x)*sin(pi*y),5.01983959143e-05,0.000495435977732,5.01983959244e-05,0.000990727401931,0.000414208335981,9.86955795515,19.7362362619,1.99991309339,1.99986557573,1.99991309317,1.99926120947,2.0436890751,True,True,1.99996360784,1.99996387541,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
A,constant_coefficient,256,256,0.00390625,0.00390625,cell_centred_(i+0.5)/N,254,254,254,254,64516,1.0,1.0,True,True,2*pi^2*sin(pi*x)*sin(pi*y),1.25497879747e-05,0.000123861369764,1.25497884422e-05,0.000247713567944,0.000101971525811,9.86959859513,19.7384656391,1.99997827327,1.99997233268,1.99997821982,1.99981526424,2.02219023315,True,True,1.99996360784,1.99996387541,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
A,constant_coefficient,512,512,0.001953125,0.001953125,cell_centred_(i+0.5)/N,510,510,510,510,260100,1.0,1.0,True,True,2*pi^2*sin(pi*x)*sin(pi*y),3.13745880588e-06,3.09654749618e-05,3.1374568277e-06,6.19303325138e-05,2.52960434362e-05,9.86960367534,19.7390230097,1.99999456839,1.99999382579,1.99999553176,1.99995479382,2.01118269988,True,True,1.99996360784,1.99996387541,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
B,smooth_variable_coefficient,16,16,0.0625,0.0625,cell_centred_(i+0.5)/N,14,14,14,14,196,0.759515058436,1.24048494156,True,True,-grad(a).grad(u)-a*laplacian(u),0.00887449346675,0.0839206314967,0.0106232669921,0.255667328225,0.0756094295423,9.45638551779,24.0667328059,,,,,,True,True,1.99948164855,1.99924238465,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
B,smooth_variable_coefficient,32,32,0.03125,0.03125,cell_centred_(i+0.5)/N,30,30,30,30,900,0.75240183995,1.24759816005,True,True,-grad(a).grad(u)-a*laplacian(u),0.00227015692087,0.0215068423029,0.00271249138967,0.0665106321401,0.0177938299927,9.47372496815,24.5201265498,1.96687275165,1.9642298145,1.96953704585,1.94261092212,2.08718909604,True,True,1.99948164855,1.99924238465,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
B,smooth_variable_coefficient,64,64,0.015625,0.015625,cell_centred_(i+0.5)/N,62,62,62,62,3844,0.750601909166,1.24939809083,True,True,-grad(a).grad(u)-a*laplacian(u),0.00057000349046,0.00540130717335,0.000681571094469,0.0167907830736,0.00423832062231,9.47591947022,24.635409585,1.99374936602,1.99341521756,1.99268250092,1.98591546789,2.06981243909,True,True,1.99948164855,1.99924238465,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
B,smooth_variable_coefficient,128,128,0.0078125,0.0078125,cell_centred_(i+0.5)/N,126,126,126,126,15876,0.750150567974,1.24984943203,True,True,-grad(a).grad(u)-a*laplacian(u),0.000142627565493,0.00135156654229,0.000170606775051,0.00420790563612,0.00103237470074,9.47619443419,24.6643524847,1.99871791674,1.99867605448,1.99818921258,1.99649525785,2.037526037,True,True,1.99948164855,1.99924238465,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
B,smooth_variable_coefficient,256,256,0.00390625,0.00390625,cell_centred_(i+0.5)/N,254,254,254,254,64516,0.750037647663,1.24996235234,True,True,-grad(a).grad(u)-a*laplacian(u),3.56639212506e-05,0.000337959478452,4.2665045483e-05,0.00105261475962,0.000254322804863,9.47622882175,24.6715958627,1.9997155958,1.99971036051,1.99954844826,1.99912482265,2.02123395454,True,True,1.99948164855,1.99924238465,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
B,smooth_variable_coefficient,512,512,0.001953125,0.001953125,cell_centred_(i+0.5)/N,510,510,510,510,260100,0.75000941227,1.24999058773,True,True,-grad(a).grad(u)-a*laplacian(u),8.91639160266e-06,8.4493805422e-05,1.0667093356e-05,0.000263193537862,6.31023884638e-05,9.47623312067,24.6734071858,1.99993345069,1.9999327962,1.99988747189,1.99978155694,2.01089431456,True,True,1.99948164855,1.99924238465,PASS,PASS,7.105427357599999e-15,64,0,0,PASS
