architecture,training_resolution,evaluation_resolution,seed,protocol,k_norm,target_normalized_residual_energy_mean,target_normalized_residual_energy_std,target_normalized_residual_energy_se,n_test_samples,record_type,band,k_norm_left,k_norm_right,target_normalized_residual_energy,curve_total_target_normalized_residual_energy,fraction_of_residual_profile_total,n_bins_total,denominator
Corrected standard FNO,32,256,1,fixed-val128,0.00694444444444,0.00547669506075,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.0208333333333,0.00109454835809,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.0347222222222,0.000286074216598,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.0486111111111,0.000155689181649,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.0625,9.99725217984e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.0763888888889,0.000147089570305,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.0902777777778,0.000162918287171,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.104166666667,0.000184696589344,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.118055555556,9.74021882262e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.131944444444,0.000157671858265,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.145833333333,0.000133278849544,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.159722222222,9.33853144646e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.173611111111,5.56867004833e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.1875,2.17343374e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.201388888889,3.0254138769e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.215277777778,1.98448033613e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.229166666667,1.48858153326e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.243055555556,7.54474992368e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.256944444444,6.88316821509e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.270833333333,4.23007886504e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.284722222222,3.04085946635e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.298611111111,2.361778391e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.3125,1.25812814331e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.326388888889,1.74160090814e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.340277777778,1.46098440711e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.354166666667,1.16814513062e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.368055555556,6.23391233251e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.381944444444,9.05820603181e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.395833333333,7.56238535655e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.409722222222,6.5261892985e-07,,,1000,radial_profile_bin,,,,,,,,
