architecture,training_resolution,evaluation_resolution,seed,n_test_samples,record_type,band,k_norm_left,k_norm_right,target_normalized_residual_energy,curve_total_target_normalized_residual_energy,fraction_of_residual_profile_total,n_bins_total,denominator
FNO,32,256,1,1000,integrated_frequency_band,low,0.0,0.2,0.00816684303409,0.0082877212083,0.985414787591,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,32,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,0.000108891057752,0.0082877212083,0.0131388417896,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,32,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,1.1987116457e-05,0.0082877212083,0.00144637061935,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,64,256,1,1000,integrated_frequency_band,low,0.0,0.2,0.00501074112619,0.00507234037646,0.987855852389,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,64,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,5.03032327778e-05,0.00507234037646,0.00991716427613,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,64,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,1.12960174873e-05,0.00507234037646,0.0022269833349,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,128,256,1,1000,integrated_frequency_band,low,0.0,0.2,0.00493585531808,0.00497673291569,0.991786258516,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,128,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,2.99555559414e-05,0.00497673291569,0.00601912066588,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,128,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,1.09220416632e-05,0.00497673291569,0.00219462081816,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,256,256,1,1000,integrated_frequency_band,low,0.0,0.2,0.00497290849383,0.00501193945587,0.992212403526,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,256,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,2.87224189964e-05,0.00501193945587,0.00573079927429,72.0,mean-removed target spectral energy in retained circular Nyquist range
FNO,256,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,1.03085430358e-05,0.00501193945587,0.00205679719928,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,32,256,1,1000,integrated_frequency_band,low,0.0,0.2,3.33513926854,3.41482422672,0.976664989794,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,32,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,0.0765043597007,3.41482422672,0.0224036010703,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,32,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,0.0031805984817,3.41482422672,0.000931409135737,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,64,256,1,1000,integrated_frequency_band,low,0.0,0.2,0.827869347472,0.828883158158,0.998776895542,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,64,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,0.000929452247318,0.828883158158,0.00112133083918,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,64,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,8.43584386975e-05,0.828883158158,0.000101773618956,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,128,256,1,1000,integrated_frequency_band,low,0.0,0.2,0.330192354793,0.330805241232,0.998147289211,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,128,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,0.000595292358727,0.330805241232,0.0017995251723,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,128,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,1.7594080742e-05,0.330805241232,5.31856166378e-05,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,256,256,1,1000,integrated_frequency_band,low,0.0,0.2,0.0867293817574,0.0883587312876,0.98155983561,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,256,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,0.0015788176235,0.0883587312876,0.017868269502,72.0,mean-removed target spectral energy in retained circular Nyquist range
ResNet,256,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,5.05319067184e-05,0.0883587312876,0.000571894887828,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,32,256,1,1000,integrated_frequency_band,low,0.0,0.2,10.8230434917,10.8503159468,0.997486482866,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,32,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,0.0271439757685,10.8503159468,0.00250167607115,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,32,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,0.000128479273262,10.8503159468,1.18410628679e-05,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,64,256,1,1000,integrated_frequency_band,low,0.0,0.2,8.02820095683,8.03330481964,0.999364662125,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,64,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,0.00460014089889,8.03330481964,0.000572633679683,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,64,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,0.000503721914509,8.03330481964,6.27041953242e-05,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,128,256,1,1000,integrated_frequency_band,low,0.0,0.2,1.89701393336,1.89834296476,0.999299899215,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,128,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,0.00109652197817,1.89834296476,0.000577620587286,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,128,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,0.000232509422029,1.89834296476,0.000122480197912,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,256,256,1,1000,integrated_frequency_band,low,0.0,0.2,0.193943468794,0.197387892439,0.982549975064,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,256,256,1,1000,integrated_frequency_band,intermediate,0.2,0.85,0.00299804130717,0.197387892439,0.0151885775268,72.0,mean-removed target spectral energy in retained circular Nyquist range
U-Net,256,256,1,1000,integrated_frequency_band,near-Nyquist,0.85,1.0,0.000446382337941,0.197387892439,0.00226144740908,72.0,mean-removed target spectral energy in retained circular Nyquist range
