architecture,train_nx,train_ny,n_seeds,direct_joint_rel_l2_seed_mean,direct_joint_rel_l2_seed_std,direct_vector_h1_seminorm_rel_seed_mean,direct_vector_h1_seminorm_rel_seed_std,direct_deformation_gradient_rel_seed_mean,direct_deformation_gradient_rel_seed_std,direct_strain_energy_density_rel_seed_mean,direct_strain_energy_density_rel_seed_std,direct_min_det_f_seed_mean,direct_min_det_f_seed_std,direct_nonpositive_j_fraction_seed_mean,direct_nonpositive_j_fraction_seed_std,direct_energy_valid_fraction,interpolated_joint_rel_l2_seed_mean,interpolated_joint_rel_l2_seed_std,interpolated_vector_h1_seminorm_rel_seed_mean,interpolated_vector_h1_seminorm_rel_seed_std,interpolated_deformation_gradient_rel_seed_mean,interpolated_deformation_gradient_rel_seed_std,interpolated_strain_energy_density_rel_seed_mean,interpolated_strain_energy_density_rel_seed_std,interpolated_min_det_f_seed_mean,interpolated_min_det_f_seed_std,interpolated_nonpositive_j_fraction_seed_mean,interpolated_nonpositive_j_fraction_seed_std,interpolated_energy_valid_fraction,direct_vs_interpolated_joint_rel_l2_seed_mean,direct_vs_interpolated_joint_rel_l2_seed_std,direct_vs_interpolated_vector_h1_seminorm_rel_seed_mean,direct_vs_interpolated_vector_h1_seminorm_rel_seed_std,direct_vs_interpolated_deformation_gradient_rel_seed_mean,direct_vs_interpolated_deformation_gradient_rel_seed_std,direct_vs_interpolated_strain_energy_density_rel_seed_mean,direct_vs_interpolated_strain_energy_density_rel_seed_std,direct_vs_interpolated_min_det_f_seed_mean,direct_vs_interpolated_min_det_f_seed_std,direct_vs_interpolated_nonpositive_j_fraction_seed_mean,direct_vs_interpolated_nonpositive_j_fraction_seed_std,direct_vs_interpolated_energy_valid_fraction,n_test_samples,scope,record_type,path,n_seed_sample_pairs,field_path_distance_seed_mean,field_path_distance_seed_std,field_path_distance_finite_seed_count,gradient_path_distance_seed_mean,gradient_path_distance_seed_std,gradient_path_distance_finite_seed_count,strain_energy_density_path_distance_seed_mean,strain_energy_density_path_distance_seed_std,strain_energy_density_path_distance_finite_seed_count,minimum_det_f_difference_seed_mean,minimum_det_f_difference_seed_std,minimum_det_f_difference_finite_seed_count,nonpositive_j_fraction_difference_seed_mean,nonpositive_j_fraction_difference_seed_std,nonpositive_j_fraction_difference_finite_seed_count,energy_valid_pair_fraction
FNO,64.0,16.0,3,0.0471719501126,0.00610963660014,3.38597367202,0.413596270791,0.86212546328,0.105636234583,,,-9.45314466604,4.15448909799,0.0283667771966,0.00830017629788,0.0,0.00111853255867,4.65915542673e-05,0.0183610847204,0.000546072875198,0.00463553645534,0.000144429306189,0.0939472236572,0.00742635495393,0.912444161568,0.000233137460112,0.0,0.0,1.0,0.0471446184621,0.00610693234496,3.38409192603,0.412529968729,0.861904017648,0.105597820811,,,-9.45314466604,4.15448909799,0.0283667771966,0.00830017629788,0.0,75,sampled-grid direct-native versus interpolated matched prediction; not FEM convergence,direct_vs_interpolated,,,,,,,,,,,,,,,,,,
FNO,128.0,32.0,3,0.0134544978111,0.000859632943519,1.42321967468,0.052786170385,0.361861202268,0.0140825672366,,,-3.5614640724,0.893731590952,0.0125033329915,0.00253674542185,0.0,0.00171505586548,0.00010155342208,0.111025618282,0.00109293673502,0.0281904870892,0.000269796027194,1.80812673337,0.209470812041,0.826550763196,0.0179278466207,0.0,0.0,1.0,0.0133772806037,0.000854340655753,1.41488344012,0.0511486455416,0.361718502072,0.0137908998289,,,-3.5614640724,0.893731590952,0.0125033329915,0.00253674542185,0.0,75,sampled-grid direct-native versus interpolated matched prediction; not FEM convergence,direct_vs_interpolated,,,,,,,,,,,,,,,,,,
ResNet,64.0,16.0,3,0.517666627092,0.0413814157345,3.48233315203,0.346786585389,0.886251713883,0.0860039329142,920.760366811,0.0,-8.64644070525,3.17050990416,0.100331589922,0.0364570817635,0.00444444444444,0.00486311968309,0.000504771985702,0.0800695045281,0.00625801580812,0.020324973188,0.00156343869238,1.87378194652,0.467289056903,0.813332280754,0.010515780333,0.0,0.0,1.0,0.517231063142,0.0411447385533,3.46974134952,0.34786798973,0.885681026057,0.0863278554515,55.3802328486,0.0,-8.64644070525,3.17050990416,0.100331589922,0.0364570817635,0.00444444444444,75,sampled-grid direct-native versus interpolated matched prediction; not FEM convergence,direct_vs_interpolated,,,,,,,,,,,,,,,,,,
ResNet,128.0,32.0,3,0.210018964434,0.00187371874888,1.05199346314,0.0443430250618,0.266892754012,0.011270258098,178.210781707,45.2966431176,-0.363035512616,0.368597969788,0.00115361387436,0.00129294126271,0.426666666667,0.00797560898058,0.00133913613846,0.175672598881,0.0246279164698,0.0446286198345,0.00625024466677,8.55757940937,3.76246932011,0.333052437938,0.144314684247,3.23613532515e-05,3.33135003172e-05,0.897777777778,0.209628780607,0.00197829542329,1.03962348433,0.0384904937101,0.268466147053,0.0116573654179,22.4055469763,12.5266106065,-0.363035512616,0.368597969788,0.00115361387436,0.00129294126271,0.422222222222,75,sampled-grid direct-native versus interpolated matched prediction; not FEM convergence,direct_vs_interpolated,,,,,,,,,,,,,,,,,,
U-Net,64.0,16.0,3,0.877903701297,0.276082966485,4.08958830706,2.04428005256,1.03825379825,0.517170401516,,,-2.20037985269,0.534045020493,0.100929591267,0.0895138767609,0.0,0.00579543413693,0.000951244903489,0.130405866891,0.0119655551638,0.0330903392883,0.00305320043945,1.95844198482,0.330968157166,0.845461464,0.0185877186079,0.0,0.0,1.0,0.878575832009,0.276557495966,4.05991577968,2.03081803902,1.0388495623,0.516437852315,,,-2.20037985269,0.534045020493,0.100929591267,0.0895138767609,0.0,75,sampled-grid direct-native versus interpolated matched prediction; not FEM convergence,direct_vs_interpolated,,,,,,,,,,,,,,,,,,
U-Net,128.0,32.0,3,0.426628056816,0.107792524668,1.97686172021,0.628588065558,0.50161594819,0.159129659408,392.073206583,268.583854181,-0.437869838224,0.394124765796,0.0059558563794,0.00459497222523,0.186666666667,0.0085982321581,0.000215339507946,0.348224117512,0.0150396168427,0.0883687661042,0.00384251573346,24.2291012981,4.74060123806,0.253834503205,0.116514948646,1.41296049408e-05,1.62687070706e-05,0.893333333333,0.425941903921,0.107586059618,1.8935854548,0.582660938037,0.506773388733,0.156887980391,13.3784207818,8.65246800107,-0.437869838224,0.394124765796,0.0059558563794,0.00459497222523,0.137777777778,75,sampled-grid direct-native versus interpolated matched prediction; not FEM convergence,direct_vs_interpolated,,,,,,,,,,,,,,,,,,
FNO,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,path-to-path sampled-grid diagnostic; not independent mesh convergence,directional_path,128x32_to_64x16,225.0,0.0137506232555,0.00181842041109,3.0,0.389233917731,0.0704718980024,3.0,48.7716377299,26.9484741107,3.0,-0.343927405316,0.108806945209,3.0,0.0,0.0,3.0,1.0
FNO,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,path-to-path sampled-grid diagnostic; not independent mesh convergence,directional_path,64x16_to_128x32,225.0,0.0355980844976,0.00317343088076,3.0,2.15223203607,0.167007430697,3.0,,,0.0,-4.64281718322,0.2068341722,3.0,0.0225146050292,0.00714101651049,3.0,0.0
ResNet,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,path-to-path sampled-grid diagnostic; not independent mesh convergence,directional_path,128x32_to_64x16,225.0,0.137290803156,0.0204557435292,3.0,0.732691220569,0.0219680077508,3.0,42.9682660152,14.7582345202,3.0,-0.518521379689,0.0987868987366,3.0,2.35155790711e-05,3.32560508495e-05,3.0,0.977777777778
ResNet,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,path-to-path sampled-grid diagnostic; not independent mesh convergence,directional_path,64x16_to_128x32,225.0,0.3560872589,0.0391753811655,3.0,1.90231461411,0.221112530692,3.0,22.0464168656,7.67383091078,2.0,-3.57791952949,1.60507634745,3.0,0.0311246578049,0.0170673504623,3.0,0.08
